task,phase,run,tag,n_trials,mean_reward,trial_rewards,notes
financial-modeling-qa,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
flood-risk-analysis,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
flood-risk-analysis,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.333,"[0.000,1.000,0.000]",
flood-risk-analysis,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
flood-risk-analysis,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
grid-dispatch-operator,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,0.000,"[0.000,0.000,0.000]",
grid-dispatch-operator,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.000,"[0.000,0.000,0.000]",
grid-dispatch-operator,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.000,"[0.000,0.000,0.000]",
grid-dispatch-operator,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,0.000,"[0.000,0.000,0.000]",
hvac-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0001,3,1.000,"[1.000,1.000,1.000]",
hvac-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0002,3,0.333,"[0.000,1.000,0.000]",
hvac-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,cand_0003,3,0.667,"[1.000,0.000,1.000]",
hvac-control,runnable-43task-opt,run_runnable_iter7_v1_KILLED_iter4_optimizer_hung_2h,seed,3,1.000,"[1.000,1.000,1.000]",
